id,year_month,uf,product,unit,volume,created_at
56,2013-01-01,AC,OLEO DIESEL S-1800,m3,14139.166,2022-06-14 09:28:16.189637-03
57,2013-01-01,AM,OLEO DIESEL S-1800,m3,97615.793,2022-06-14 09:28:16.189637-03
58,2013-01-01,RR,OLEO DIESEL S-1800,m3,5462.8,2022-06-14 09:28:16.189637-03
59,2013-01-01,PA,OLEO DIESEL S-1800,m3,138496.156,2022-06-14 09:28:16.189637-03
60,2013-01-01,AP,OLEO DIESEL S-1800,m3,36902.285,2022-06-14 09:28:16.189637-03
61,2013-01-01,TO,OLEO DIESEL S-1800,m3,58116.55,2022-06-14 09:28:16.189637-03
62,2013-01-01,MA,OLEO DIESEL S-1800,m3,12291.8,2022-06-14 09:28:16.189637-03
63,2013-01-01,PI,OLEO DIESEL S-1800,m3,10,2022-06-14 09:28:16.189637-03
64,2013-01-01,CE,OLEO DIESEL S-1800,m3,34480,2022-06-14 09:28:16.189637-03
65,2013-01-01,RN,OLEO DIESEL S-1800,m3,48146.9,2022-06-14 09:28:16.189637-03
66,2013-01-01,PB,OLEO DIESEL S-1800,m3,61,2022-06-14 09:28:16.189637-03
67,2013-01-01,PE,OLEO DIESEL S-1800,m3,267,2022-06-14 09:28:16.189637-03
68,2013-01-01,AL,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
69,2013-01-01,SE,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
70,2013-01-01,BA,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
71,2013-01-01,MG,OLEO DIESEL S-1800,m3,366934.587,2022-06-14 09:28:16.189637-03
72,2013-01-01,ES,OLEO DIESEL S-1800,m3,380.45,2022-06-14 09:28:16.189637-03
73,2013-01-01,RJ,OLEO DIESEL S-1800,m3,52102.783,2022-06-14 09:28:16.189637-03
74,2013-01-01,SP,OLEO DIESEL S-1800,m3,243383.286,2022-06-14 09:28:16.189637-03
75,2013-01-01,PR,OLEO DIESEL S-1800,m3,14536.469,2022-06-14 09:28:16.189637-03
76,2013-01-01,SC,OLEO DIESEL S-1800,m3,74259.53,2022-06-14 09:28:16.189637-03
77,2013-01-01,RS,OLEO DIESEL S-1800,m3,129263.354,2022-06-14 09:28:16.189637-03
78,2013-01-01,MS,OLEO DIESEL S-1800,m3,84477.19,2022-06-14 09:28:16.189637-03
79,2013-01-01,MT,OLEO DIESEL S-1800,m3,2381033.995,2022-06-14 09:28:16.189637-03
80,2013-01-01,GO,OLEO DIESEL S-1800,m3,149833.82,2022-06-14 09:28:16.189637-03
81,2013-01-01,DF,OLEO DIESEL S-1800,m3,29075.876,2022-06-14 09:28:16.189637-03
82,2013-01-01,RO,OLEO DIESEL MARITIMO,m3,2027.049,2022-06-14 09:28:16.189637-03
83,2013-01-01,AC,OLEO DIESEL MARITIMO,m3,25,2022-06-14 09:28:16.189637-03
